DEPTH,P-wave,Lithology,Porosity,Density,S-wave,Water Saturation,Volumetric
3620.3,3459.927,0,0.0335,2.6152,1723.6377,1,0.7172
3620.4502,3457.9185,0,0.0305,2.6147,1728.4192,1,0.7271
3620.6001,3459.9207,0,0.0252,2.6137,1738.7288,1,0.7633
3620.7502,3467.8452,0,0.0221,2.6128,1754.7335,1,0.7746
3620.9001,3480.0322,0,0.026,2.617,1764.2544,1,0.7247
3621.05,3500.8491,0,0.0261,2.6281,1782.408,1,0.6802
3621.2002,3522.7354,0,0.0184,2.6394,1798.2266,1,0.7068
3621.3501,3539.1589,0,0.0091,2.6434,1829.8789,1,0.744
3621.5002,3566.3113,0,0.0121,2.6407,1841.2704,1,0.7142
3621.6501,3640.7273,0,0.0265,2.6318,1828.1969,1,0.6207
3621.8,3623.366,0,0.039,2.6299,1806.9543,1,0.5644
3621.9502,3644.0059,0,0.0459,2.6282,1779.0626,1,0.574
3622.1001,3637.2571,0,0.0378,2.6324,1768.5469,1,0.6484
3622.2502,3524.3486,0,0.0244,2.6296,1752.5508,1,0.7554
3622.4001,3472.5911,0,0.0252,2.6252,1743.5752,1,0.7565
3622.55,3480.4219,0,0.0196,2.6148,1744.4119,1,0.7994
3622.7002,3467.2256,0,0.0117,2.6167,1751.275,1,0.858
3622.8501,3479.8816,0,0.0019,2.6302,1765.431,1,0.9036
3623.0002,3488.666,0,0.0096,2.642,1773.208,1,0.8199
3623.1501,3530.1118,0,0.0182,2.6433,1782.093,1,0.7507
3623.3,3537.4744,0,0.0206,2.6388,1786.4683,1,0.7165
3623.4502,3573.1919,0,0.0325,2.6149,1785.911,1,0.655
3623.6001,3546.8127,0,0.033,2.6112,1785.6035,1,0.6394
3623.7502,3571.7927,0,0.0273,2.6151,1780.6605,1,0.7062
3623.9001,3629.7043,0,0.0239,2.6198,1776.2454,1,0.736
3624.05,3617.8022,0,0.0272,2.6196,1769.0393,1,0.6984
3624.2002,3613.938,0,0.0209,2.6138,1771.1398,1,0.7248
3624.3501,3606.7874,0,0.0193,2.6168,1764.5182,1,0.6854
3624.5002,3600.6106,0,0.0204,2.6182,1755.8613,1,0.6627
3624.6501,3573.0327,0,0.0168,2.6216,1743.5095,1,0.6878
3624.8,3569.7007,0,0.022,2.6157,1740.9856,1,0.7059
3624.9502,3592.1687,0,0.032,2.6035,1738.1129,1,0.6998
3625.1001,3587.2573,0,0.0408,2.5985,1725.9556,1,0.6465
3625.2502,3573.4456,0,0.0263,2.6116,1714.469,1,0.7075
3625.4001,3550.8901,0,0.0064,2.6231,1718.3542,1,0.824
3625.55,3530.6841,0,0.0065,2.6229,1748.9509,1,0.8289
3625.7002,3489.4028,0,0.0137,2.6215,1778.1626,1,0.7903
3625.8501,3467.8394,0,0.0258,2.6209,1780.7275,1,0.7216
3626.0002,3472.5134,0,0.0332,2.6212,1758.2086,1,0.6849
3626.1501,3455.1072,0,0.0336,2.6204,1738.5789,1,0.7084
3626.3,3470.615,0,0.0371,2.6161,1736.0491,1,0.7113
3626.4502,3468.6643,0,0.0342,2.6144,1734.2246,1,0.7526
3626.6001,3453.03,0,0.0325,2.6184,1723.3024,1,0.7364
3626.7502,3451.2087,0,0.0277,2.6222,1704.8673,1,0.7133
3626.9001,3465.7542,0,0.0278,2.6259,1691.7303,1,0.6573
3627.05,3454.2532,0,0.0315,2.6264,1687.9276,1,0.6174
3627.2002,3442.9656,0,0.0288,2.6236,1691.2649,1,0.6804
3627.3501,3438.2388,0,0.0217,2.6211,1695.9844,1,0.7739
3627.5002,3434.6648,0,0.0155,2.6243,1697.652,1,0.8249
3627.6501,3437.0959,0,0.0165,2.6296,1701.71,1,0.787
3627.8,3446.3582,0,0.0146,2.6371,1705.7588,1,0.7521
3627.9502,3458.3313,0,0.0059,2.6494,1706.4143,1,0.7673
3628.1001,3470.6392,0,0.0057,2.6551,1708.3876,1,0.7681
3628.2502,3497.0242,0,0.0143,2.6499,1714.4828,1,0.7492
3628.4001,3519.0256,0,0.0237,2.6394,1717.1543,1,0.7039
3628.55,3542.8503,0,0.026,2.6344,1704.9943,1,0.6648
3628.7002,3537.6545,0,0.0238,2.6378,1685.0907,1,0.6315
3628.8501,3502.4895,0,0.0217,2.6435,1673.0829,1,0.652
3629.0002,3457.8831,2,0.0103,2.6448,1688.6953,1,0.7484
3629.1501,3439.592,2,0.0086,2.6416,1731.4069,1,0.818
3629.3,3443.8142,2,0.0378,2.6262,1787.6514,1,0.6889
3629.4502,3507.3101,2,0.0742,2.596,1842.3986,1,0.5157
3629.6001,3691.3291,2,0.0988,2.5558,1866.7966,0.8345,0.3504
3629.7502,4032.8616,2,0.1114,2.5123,1874.9609,0.4024,0.1658
3629.9001,4127.623,2,0.1196,2.4822,1863.8129,0.4024,0.0501
3630.05,4218.8281,0,0.1152,2.4825,1815.2565,0.5703,0.0397
3630.2002,4110.5615,0,0.0943,2.5269,1743.0721,0.9684,0.1407
3630.3501,3660.2678,0,0.0487,2.6012,1670.6167,1,0.3683
3630.5002,3442.3652,0,0.0183,2.6328,1643.6835,1,0.5792
3630.6501,3351.6987,0,0.0029,2.6348,1656.0811,1,0.815
3630.8,3330.8584,0,0.0133,2.6245,1669.1525,1,0.7658
3630.9502,3346.0432,0,0.0324,2.6194,1678.1202,1,0.667
3631.1001,3399.7671,0,0.0372,2.6215,1672.5088,1,0.6169
3631.2502,3418.4497,0,0.0268,2.6283,1651.2072,1,0.639
3631.4001,3421.4768,0,0.0217,2.6359,1636.5089,1,0.663
3631.55,3385.561,0,0.009,2.6443,1620.6837,1,0.7302
