DEPTH,P-wave,Lithology,Porosity,Density,S-wave,Water Saturation,Volumetric
3527.8999,3392.4954,0,0.0079,2.6323,1701.6251,1,0.8851
3528.05,3383.2271,0,0.0134,2.6331,1681.4521,1,0.9181
3528.2,3373.3611,0,0.0189,2.6299,1671.5284,1,0.8911
3528.3501,3327.2241,0,0.0262,2.6342,1669.9268,1,0.8176
3528.5,3305.6208,0,0.0308,2.6334,1677.9884,1,0.7687
3528.6499,3350.6936,0,0.0228,2.638,1700.2318,1,0.7666
3528.8,3364.6365,0,0.0191,2.6402,1712.6041,1,0.765
3528.95,3438.4346,0,0.0127,2.6469,1717.8542,1,0.8051
3529.1001,3446.363,0,0.0116,2.6463,1716.6893,1,0.8496
3529.25,3439.7734,0,0.0157,2.6438,1702.6527,1,0.853
3529.3999,3431.7612,0,0.0205,2.639,1689.7107,1,0.8099
3529.55,3397.2273,0,0.0254,2.6362,1673.4846,1,0.7575
3529.7,3372.918,0,0.0232,2.6378,1667.8947,1,0.765
3529.8501,3373.8965,0,0.0248,2.6333,1666.0356,1,0.7586
3530,3374.2693,0,0.0222,2.6342,1665.2736,1,0.7673
3530.1499,3372.5586,0,0.0208,2.6363,1664.5977,1,0.7794
3530.3,3350.7837,0,0.021,2.6411,1660.2389,1,0.8073
3530.45,3312.6943,0,0.0218,2.6468,1650.6438,1,0.8207
3530.6001,3301.6919,0,0.0222,2.6504,1640.972,1,0.8041
3530.75,3299.46,0,0.0262,2.6462,1616.4829,1,0.7365
3530.8999,3297.1201,0,0.026,2.6426,1624.7101,1,0.7328
3531.05,3298.3242,0,0.0255,2.6405,1634.7573,1,0.7662
3531.2,3311.8633,0,0.024,2.6379,1635.4283,1,0.8399
3531.3501,3314.5417,0,0.0281,2.6363,1634.9718,1,0.8362
3531.5,3310.8367,0,0.0281,2.6392,1634.2847,1,0.8246
3531.6499,3310.2898,0,0.0181,2.6454,1631.455,1,0.8566
3531.8,3309.8291,0,0.0152,2.6474,1625.3074,1,0.8664
3531.95,3309.2534,0,0.0144,2.6462,1621.4452,1,0.8859
3532.1001,3309.5503,0,0.0193,2.6417,1622.0985,1,0.8787
3532.25,3306.1843,0,0.0231,2.6318,1623.639,1,0.8707
3532.3999,3302.9089,0,0.0257,2.6277,1623.6647,1,0.8493
3532.55,3305.6245,0,0.0264,2.6345,1624.2598,1,0.8325
3532.7,3307.8293,0,0.016,2.6448,1624.8712,1,0.8865
3532.8501,3309.1519,0,0.0077,2.6495,1623.9408,1,0.9359
